Resultado Sudoku Dificil:
IPSO
Execução 19 | Seed: 18 | Fitness: 3 | Iterações: 6666 | Avaliações: 399960 | Tempo: 3533.08s | Solucionado: False
Execução 20 | Seed: 19 | Fitness: 4 | Iterações: 6666 | Avaliações: 399960 | Tempo: 3534.96s | Solucionado: False
Execução 21 | Seed: 20 | Fitness: 2 | Iterações: 6666 | Avaliações: 399960 | Tempo: 3507.68s | Solucionado: False
Execução 22 | Seed: 21 | Fitness: 4 | Iterações: 6666 | Avaliações: 399960 | Tempo: 3502.26s | Solucionado: False
Execução 23 | Seed: 22 | Fitness: 3 | Iterações: 6666 | Avaliações: 399960 | Tempo: 3521.24s | Solucionado: False
Execução 24 | Seed: 23 | Fitness: 2 | Iterações: 6666 | Avaliações: 399960 | Tempo: 3537.42s | Solucionado: False
Execução 25 | Seed: 24 | Fitness: 4 | Iterações: 6666 | Avaliações: 399960 | Tempo: 3529.60s | Solucionado: False
Execução 26 | Seed: 25 | Fitness: 2 | Iterações: 6666 | Avaliações: 399960 | Tempo: 3552.01s | Solucionado: False
Execução 27 | Seed: 26 | Fitness: 3 | Iterações: 6666 | Avaliações: 399960 | Tempo: 3462.09s | Solucionado: False
Execução 28 | Seed: 27 | Fitness: 2 | Iterações: 6666 | Avaliações: 399960 | Tempo: 3459.11s | Solucionado: False
Execução 29 | Seed: 28 | Fitness: 3 | Iterações: 6666 | Avaliações: 399960 | Tempo: 3557.11s | Solucionado: False
Execução 30 | Seed: 29 | Fitness: 2 | Iterações: 6666 | Avaliações: 399960 | Tempo: 3522.40s | Solucionado: False

GA
Execução 01 | Seed: 00 | Fitness: 14 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.74s | Solucionado: False
Execução 02 | Seed: 01 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 99.06s | Solucionado: False
Execução 03 | Seed: 02 | Fitness: 12 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.31s | Solucionado: False
Execução 04 | Seed: 03 | Fitness: 9 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.02s | Solucionado: False
Execução 05 | Seed: 04 | Fitness: 5 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.82s | Solucionado: False
Execução 06 | Seed: 05 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.89s | Solucionado: False
Execução 07 | Seed: 06 | Fitness: 12 | Iterações: 1905 | Avaliações: 400000 | Tempo: 99.80s | Solucionado: False
Execução 08 | Seed: 07 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.30s | Solucionado: False
Execução 09 | Seed: 08 | Fitness: 16 | Iterações: 1905 | Avaliações: 400000 | Tempo: 99.37s | Solucionado: False
Execução 10 | Seed: 09 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.24s | Solucionado: False
Execução 11 | Seed: 10 | Fitness: 14 | Iterações: 1905 | Avaliações: 400000 | Tempo: 99.59s | Solucionado: False
Execução 12 | Seed: 11 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.76s | Solucionado: False
Execução 13 | Seed: 12 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.78s | Solucionado: False
Execução 14 | Seed: 13 | Fitness: 6 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.30s | Solucionado: False
Execução 15 | Seed: 14 | Fitness: 14 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.91s | Solucionado: False
Execução 16 | Seed: 15 | Fitness: 14 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.69s | Solucionado: False
Execução 17 | Seed: 16 | Fitness: 13 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.49s | Solucionado: False
Execução 18 | Seed: 17 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.05s | Solucionado: False
Execução 19 | Seed: 18 | Fitness: 14 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.69s | Solucionado: False
Execução 20 | Seed: 19 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.44s | Solucionado: False
Execução 21 | Seed: 20 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.94s | Solucionado: False
Execução 22 | Seed: 21 | Fitness: 6 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.12s | Solucionado: False
Execução 23 | Seed: 22 | Fitness: 13 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.69s | Solucionado: False
Execução 24 | Seed: 23 | Fitness: 11 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.50s | Solucionado: False
Execução 25 | Seed: 24 | Fitness: 11 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.14s | Solucionado: False
Execução 26 | Seed: 25 | Fitness: 11 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.45s | Solucionado: False
Execução 27 | Seed: 26 | Fitness: 11 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.86s | Solucionado: False
Execução 28 | Seed: 27 | Fitness: 16 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.06s | Solucionado: False
Execução 29 | Seed: 28 | Fitness: 13 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.99s | Solucionado: False
Execução 30 | Seed: 29 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.31s | Solucionado: False
