Resultado Sudoku Médio:
IPSO
Execução 20 | Seed: 19 | Fitness: 0 | Iterações: 648 | Avaliações: 38880 | Tempo: 202.32s | Solucionado: True
Execução 21 | Seed: 20 | Fitness: 0 | Iterações: 2096 | Avaliações: 125760 | Tempo: 662.61s | Solucionado: True
Execução 22 | Seed: 21 | Fitness: 2 | Iterações: 6666 | Avaliações: 399960 | Tempo: 2111.04s | Solucionado: False
Execução 23 | Seed: 22 | Fitness: 0 | Iterações: 6097 | Avaliações: 365820 | Tempo: 1963.46s | Solucionado: True
Execução 24 | Seed: 23 | Fitness: 0 | Iterações: 490 | Avaliações: 29400 | Tempo: 155.78s | Solucionado: True
Execução 25 | Seed: 24 | Fitness: 0 | Iterações: 5671 | Avaliações: 340260 | Tempo: 1800.59s | Solucionado: True
Execução 26 | Seed: 25 | Fitness: 2 | Iterações: 6666 | Avaliações: 399960 | Tempo: 2133.43s | Solucionado: False
Execução 27 | Seed: 26 | Fitness: 0 | Iterações: 4868 | Avaliações: 292080 | Tempo: 1536.33s | Solucionado: True
Execução 28 | Seed: 27 | Fitness: 0 | Iterações: 4561 | Avaliações: 273660 | Tempo: 1449.76s | Solucionado: True
Execução 29 | Seed: 28 | Fitness: 0 | Iterações: 5885 | Avaliações: 353100 | Tempo: 1839.09s | Solucionado: True
Execução 30 | Seed: 29 | Fitness: 0 | Iterações: 6113 | Avaliações: 366780 | Tempo: 1937.29s | Solucionado: True

GA
Execução 01 | Seed: 00 | Fitness: 11 | Iterações: 1905 | Avaliações: 400000 | Tempo: 100.44s | Solucionado: False
Execução 02 | Seed: 01 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.53s | Solucionado: False
Execução 03 | Seed: 02 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.85s | Solucionado: False
Execução 04 | Seed: 03 | Fitness: 13 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.55s | Solucionado: False
Execução 05 | Seed: 04 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.19s | Solucionado: False
Execução 06 | Seed: 05 | Fitness: 13 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.57s | Solucionado: False
Execução 07 | Seed: 06 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.39s | Solucionado: False
Execução 08 | Seed: 07 | Fitness: 9 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.53s | Solucionado: False
Execução 09 | Seed: 08 | Fitness: 6 | Iterações: 1905 | Avaliações: 400000 | Tempo: 99.03s | Solucionado: False
Execução 10 | Seed: 09 | Fitness: 11 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.17s | Solucionado: False
Execução 11 | Seed: 10 | Fitness: 7 | Iterações: 1905 | Avaliações: 400000 | Tempo: 99.34s | Solucionado: False
Execução 12 | Seed: 11 | Fitness: 6 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.78s | Solucionado: False
Execução 13 | Seed: 12 | Fitness: 2 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.24s | Solucionado: False
Execução 14 | Seed: 13 | Fitness: 12 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.81s | Solucionado: False
Execução 15 | Seed: 14 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.76s | Solucionado: False
Execução 16 | Seed: 15 | Fitness: 11 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.25s | Solucionado: False
Execução 17 | Seed: 16 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 102.25s | Solucionado: False
Execução 18 | Seed: 17 | Fitness: 6 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.81s | Solucionado: False
Execução 19 | Seed: 18 | Fitness: 7 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.24s | Solucionado: False
Execução 20 | Seed: 19 | Fitness: 11 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.97s | Solucionado: False
Execução 21 | Seed: 20 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 99.47s | Solucionado: False
Execução 22 | Seed: 21 | Fitness: 12 | Iterações: 1905 | Avaliações: 400000 | Tempo: 96.90s | Solucionado: False
Execução 23 | Seed: 22 | Fitness: 12 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.87s | Solucionado: False
Execução 24 | Seed: 23 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.96s | Solucionado: False
Execução 25 | Seed: 24 | Fitness: 12 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.63s | Solucionado: False
Execução 26 | Seed: 25 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.47s | Solucionado: False
Execução 27 | Seed: 26 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.21s | Solucionado: False
Execução 28 | Seed: 27 | Fitness: 14 | Iterações: 1905 | Avaliações: 400000 | Tempo: 98.32s | Solucionado: False
Execução 29 | Seed: 28 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 99.21s | Solucionado: False
Execução 30 | Seed: 29 | Fitness: 12 | Iterações: 1905 | Avaliações: 400000 | Tempo: 97.44s | Solucionado: False
