Resultado Sudoku fácil:
IPSO:
Execução 20 | Seed: 19 | Fitness: 0 | Iterações: 25 | Avaliações: 1500 | Tempo: 9.81s | Solucionado: True
Execução 21 | Seed: 20 | Fitness: 0 | Iterações: 252 | Avaliações: 15120 | Tempo: 112.36s | Solucionado: True
Execução 22 | Seed: 21 | Fitness: 0 | Iterações: 928 | Avaliações: 55680 | Tempo: 408.25s | Solucionado: True
Execução 23 | Seed: 22 | Fitness: 0 | Iterações: 71 | Avaliações: 4260 | Tempo: 30.19s | Solucionado: True
Execução 24 | Seed: 23 | Fitness: 0 | Iterações: 288 | Avaliações: 17280 | Tempo: 124.04s | Solucionado: True
Execução 25 | Seed: 24 | Fitness: 0 | Iterações: 173 | Avaliações: 10380 | Tempo: 75.58s | Solucionado: True
Execução 26 | Seed: 25 | Fitness: 0 | Iterações: 31 | Avaliações: 1860 | Tempo: 13.47s | Solucionado: True
Execução 27 | Seed: 26 | Fitness: 0 | Iterações: 243 | Avaliações: 14580 | Tempo: 105.86s | Solucionado: True
Execução 28 | Seed: 27 | Fitness: 0 | Iterações: 123 | Avaliações: 7380 | Tempo: 52.81s | Solucionado: True
Execução 29 | Seed: 28 | Fitness: 0 | Iterações: 5 | Avaliações: 300 | Tempo: 1.99s | Solucionado: True
Execução 30 | Seed: 29 | Fitness: 0 | Iterações: 56 | Avaliações: 3360 | Tempo: 24.54s | Solucionado: True

GA:
Execução 01 | Seed: 00 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 169.57s | Solucionado: False
Execução 02 | Seed: 01 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 170.09s | Solucionado: False
Execução 03 | Seed: 02 | Fitness: 6 | Iterações: 1905 | Avaliações: 400000 | Tempo: 168.26s | Solucionado: False
Execução 04 | Seed: 03 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 168.28s | Solucionado: False
Execução 05 | Seed: 04 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 168.10s | Solucionado: False
Execução 06 | Seed: 05 | Fitness: 13 | Iterações: 1905 | Avaliações: 400000 | Tempo: 168.63s | Solucionado: False
Execução 07 | Seed: 06 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 169.64s | Solucionado: False
Execução 08 | Seed: 07 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 167.79s | Solucionado: False
Execução 09 | Seed: 08 | Fitness: 13 | Iterações: 1905 | Avaliações: 400000 | Tempo: 169.63s | Solucionado: False
Execução 10 | Seed: 09 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 169.40s | Solucionado: False
Execução 11 | Seed: 10 | Fitness: 12 | Iterações: 1905 | Avaliações: 400000 | Tempo: 169.62s | Solucionado: False
Execução 12 | Seed: 11 | Fitness: 4 | Iterações: 1905 | Avaliações: 400000 | Tempo: 167.45s | Solucionado: False
Execução 13 | Seed: 12 | Fitness: 11 | Iterações: 1905 | Avaliações: 400000 | Tempo: 168.77s | Solucionado: False
Execução 14 | Seed: 13 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 168.40s | Solucionado: False
Execução 15 | Seed: 14 | Fitness: 9 | Iterações: 1905 | Avaliações: 400000 | Tempo: 169.36s | Solucionado: False
Execução 16 | Seed: 15 | Fitness: 13 | Iterações: 1905 | Avaliações: 400000 | Tempo: 168.27s | Solucionado: False
Execução 17 | Seed: 16 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 168.14s | Solucionado: False
Execução 18 | Seed: 17 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 169.08s | Solucionado: False
Execução 19 | Seed: 18 | Fitness: 10 | Iterações: 1905 | Avaliações: 400000 | Tempo: 170.24s | Solucionado: False
Execução 20 | Seed: 19 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 169.55s | Solucionado: False
Execução 21 | Seed: 20 | Fitness: 9 | Iterações: 1905 | Avaliações: 400000 | Tempo: 167.33s | Solucionado: False
Execução 22 | Seed: 21 | Fitness: 16 | Iterações: 1905 | Avaliações: 400000 | Tempo: 168.88s | Solucionado: False
Execução 23 | Seed: 22 | Fitness: 14 | Iterações: 1905 | Avaliações: 400000 | Tempo: 167.85s | Solucionado: False
Execução 24 | Seed: 23 | Fitness: 11 | Iterações: 1905 | Avaliações: 400000 | Tempo: 168.13s | Solucionado: False
Execução 25 | Seed: 24 | Fitness: 13 | Iterações: 1905 | Avaliações: 400000 | Tempo: 166.55s | Solucionado: False
Execução 26 | Seed: 25 | Fitness: 11 | Iterações: 1905 | Avaliações: 400000 | Tempo: 168.67s | Solucionado: False
Execução 27 | Seed: 26 | Fitness: 15 | Iterações: 1905 | Avaliações: 400000 | Tempo: 170.01s | Solucionado: False
Execução 28 | Seed: 27 | Fitness: 8 | Iterações: 1905 | Avaliações: 400000 | Tempo: 168.31s | Solucionado: False
Execução 29 | Seed: 28 | Fitness: 7 | Iterações: 1905 | Avaliações: 400000 | Tempo: 170.40s | Solucionado: False
Execução 30 | Seed: 29 | Fitness: 13 | Iterações: 1905 | Avaliações: 400000 | Tempo: 167.28s | Solucionado: False


